Time (ms),ETI,IR (counts),Red (counts),ECG (uv),Ax (mg),Ay (mg),Az (mg),IR peak,Red peak,ECG peak,SPO2
835,8080384,-833863,-3510528,18.441,172.0,-967.0,-934.0,0,0,0,
860,8080384,-833863,-3510528,18.441,169.0,-965.0,-931.0,0,0,0,
860,8080384,-833687,-3510398,18.473,169.0,-965.0,-931.0,0,0,0,
860,8080384,-833809,-3510435,18.457,169.0,-965.0,-931.0,0,0,0,
860,8080384,-833618,-3510302,18.404,169.0,-965.0,-931.0,0,0,0,
860,8080384,-833791,-3510475,18.46,169.0,-965.0,-931.0,0,0,0,
860,8080384,-833815,-3510449,18.472,169.0,-965.0,-931.0,0,0,0,
860,8080384,-833773,-3510494,18.43,169.0,-965.0,-931.0,0,0,0,
861,8080384,-833971,-3510458,18.422,169.0,-965.0,-931.0,0,0,0,
861,8080384,-833768,-3510432,18.429,169.0,-965.0,-931.0,0,0,0,
861,8080384,-833810,-3510476,18.491,169.0,-965.0,-931.0,0,0,0,
861,8080384,-833795,-3510351,18.466,169.0,-965.0,-931.0,0,0,0,
880,8080384,-833640,-3510533,18.418,167.0,-968.0,-929.0,0,0,0,
880,8080384,-833593,-3510374,18.457,167.0,-968.0,-929.0,0,0,0,
880,8080384,-833644,-3510388,18.454,167.0,-968.0,-929.0,0,0,0,
880,8080384,-833663,-3510456,18.445,167.0,-968.0,-929.0,0,0,0,
880,8080384,-833886,-3510448,18.431,167.0,-968.0,-929.0,0,0,0,
914,8080384,-833678,-3510419,18.446,171.0,-966.0,-925.0,0,0,0,
914,8080384,-833654,-3510383,18.488,171.0,-966.0,-925.0,0,0,0,
914,8080384,-833713,-3510522,18.445,171.0,-966.0,-925.0,0,0,0,
914,8080384,-833731,-3510425,18.406,171.0,-966.0,-925.0,0,0,0,
914,8080384,-833652,-3510439,18.459,171.0,-966.0,-925.0,0,0,0,
914,8080384,-833761,-3510463,18.477,171.0,-966.0,-925.0,0,0,0,
914,8080384,-833637,-3510445,18.45,171.0,-966.0,-925.0,0,0,0,
929,8080384,-833813,-3510451,18.423,170.0,-968.0,-928.0,0,0,0,
929,8080384,-833791,-3510470,18.435,170.0,-968.0,-928.0,0,0,0,
929,8080384,-833774,-3510477,18.48,170.0,-968.0,-928.0,0,0,0,
929,8080384,-833810,-3510454,18.458,170.0,-968.0,-928.0,0,0,0,
940,8080384,-833714,-3510442,18.426,168.0,-963.0,-932.0,0,0,0,
940,8080384,-833653,-3510522,18.456,168.0,-963.0,-932.0,0,0,0,
953,8080384,-833750,-3510357,18.462,169.0,-962.0,-935.0,0,0,0,
953,8080384,-833762,-3510439,18.46,169.0,-962.0,-935.0,0,0,0,
953,8080384,-833756,-3510418,18.425,169.0,-962.0,-935.0,0,0,0,
965,8080384,-833770,-3510461,18.45,169.0,-962.0,-936.0,0,0,0,
965,8080384,-833794,-3510377,18.486,169.0,-962.0,-936.0,0,0,0,
1006,8080384,-833793,-3510420,18.437,173.0,-964.0,-930.0,0,0,0,
1006,8080384,-833841,-3510442,18.428,173.0,-964.0,-930.0,0,0,0,
1006,8080384,-833753,-3510528,18.452,173.0,-964.0,-930.0,0,0,0,
1006,8080384,-833771,-3510518,18.47,173.0,-964.0,-930.0,0,0,0,
1006,8080384,-833805,-3510551,18.458,173.0,-964.0,-930.0,0,0,0,
1007,8080384,-833821,-3510359,18.418,173.0,-964.0,-930.0,0,0,0,
1007,8080384,-833808,-3510409,18.445,173.0,-964.0,-930.0,0,0,0,
1021,8080384,-833728,-3510499,18.49,172.0,-968.0,-925.0,0,0,0,
1021,8080384,-833845,-3510527,18.439,172.0,-968.0,-925.0,0,0,0,
1021,8080384,-833798,-3510517,18.415,172.0,-968.0,-925.0,0,0,0,
1021,8080384,-833836,-3510581,18.458,172.0,-968.0,-925.0,0,0,0,
1034,8080384,-833834,-3510353,18.473,171.0,-965.0,-927.0,0,0,0,
1034,8080384,-833889,-3510487,18.457,171.0,-965.0,-927.0,0,0,0,
1034,8080384,-833720,-3510472,18.405,171.0,-965.0,-927.0,0,0,0,
1047,8080384,-833701,-3510366,18.446,174.0,-966.0,-926.0,0,0,0,
1047,8080384,-833669,-3510621,18.488,174.0,-966.0,-926.0,0,0,0,
1047,8080384,-833699,-3510360,18.438,174.0,-966.0,-926.0,0,0,0,
1059,8080384,-833919,-3510382,18.431,172.0,-967.0,-930.0,0,0,0,
1074,8080384,-833911,-3510458,18.442,172.0,-967.0,-930.0,0,0,0,
1092,8080384,-833745,-3510508,18.457,167.0,-965.0,-933.0,0,0,0,
1092,8080384,-833638,-3510418,18.46,167.0,-965.0,-933.0,0,0,0,
1092,8080384,-833650,-3510359,18.413,167.0,-965.0,-933.0,0,0,0,
1092,8080384,-833749,-3510454,18.457,167.0,-965.0,-933.0,0,0,0,
1092,8080384,-833838,-3510533,18.484,167.0,-965.0,-933.0,0,0,0,
1092,8080384,-833807,-3510346,18.442,167.0,-965.0,-933.0,0,0,0,
1105,8080384,-833722,-3510396,18.429,174.0,-966.0,-928.0,0,0,0,
1105,8080384,-833738,-3510563,18.441,174.0,-966.0,-928.0,0,0,0,
1105,8080384,-833688,-3510431,18.458,174.0,-966.0,-928.0,0,0,0,
1122,8080384,-833714,-3510502,18.45,166.0,-964.0,-932.0,0,0,0,
1122,8080384,-833735,-3510413,18.415,166.0,-964.0,-932.0,0,0,0,
1122,8080384,-833785,-3510340,18.452,166.0,-964.0,-932.0,0,0,0,
1135,8080384,-833640,-3510465,18.486,173.0,-966.0,-932.0,0,0,0,
1135,8080384,-833789,-3510491,18.439,173.0,-966.0,-932.0,0,0,0,
1135,8080384,-833685,-3510290,18.426,173.0,-966.0,-932.0,0,0,0,
1148,8080384,-833679,-3510477,18.451,172.0,-965.0,-929.0,0,0,0,
1148,8080384,-833761,-3510502,18.482,172.0,-965.0,-929.0,0,0,0,
1164,8080384,-833636,-3510267,18.444,172.0,-965.0,-929.0,0,0,0,
1182,8080384,-833652,-3510474,18.416,171.0,-967.0,-926.0,0,0,0,
1182,8080384,-833711,-3510294,18.463,171.0,-967.0,-926.0,0,0,0,
1182,8080384,-833705,-3510317,18.481,171.0,-967.0,-926.0,0,0,0,
1182,8080384,-833628,-3510338,18.449,171.0,-967.0,-926.0,0,0,0,
1182,8080384,-833727,-3510287,18.43,171.0,-967.0,-926.0,0,0,0,
1182,8080384,-833595,-3510343,18.444,171.0,-967.0,-926.0,0,0,0,
1195,8080384,-833663,-3510467,18.481,169.0,-965.0,-928.0,0,0,0,
1196,8080384,-833709,-3510366,18.442,169.0,-965.0,-928.0,0,0,0,
1196,8080384,-833583,-3510444,18.403,169.0,-965.0,-928.0,0,0,0,
1208,8080384,-833764,-3510454,18.458,169.0,-963.0,-927.0,0,0,0,
1208,8080384,-833653,-3510524,18.479,169.0,-963.0,-927.0,0,0,0,
1209,8080384,-833724,-3510350,18.438,169.0,-963.0,-927.0,0,0,0,
1220,8080384,-833680,-3510485,18.436,171.0,-961.0,-933.0,0,0,0,
1220,8080384,-833687,-3510429,18.447,171.0,-961.0,-933.0,0,0,0,
1233,8080384,-833589,-3510368,18.479,169.0,-963.0,-927.0,0,0,0,
1233,8080384,-833710,-3510561,18.452,169.0,-963.0,-927.0,0,0,0,
1233,8080384,-833676,-3510282,18.406,169.0,-963.0,-927.0,0,0,0,
1276,8080384,-833699,-3510411,18.462,172.0,-964.0,-930.0,0,0,0,
1276,8080384,-833755,-3510286,18.473,172.0,-964.0,-930.0,0,0,0,
1276,8080384,-833665,-3510359,18.446,172.0,-964.0,-930.0,0,0,0,
1276,8080384,-833677,-3510322,18.433,172.0,-964.0,-930.0,0,0,0,
1276,8080384,-833706,-3510311,18.447,172.0,-964.0,-930.0,0,0,0,
1276,8080384,-833626,-3510530,18.484,172.0,-964.0,-930.0,0,0,0,
1276,8080384,-833618,-3510268,18.439,172.0,-964.0,-930.0,0,0,0,
1291,8080384,-833686,-3510443,18.419,170.0,-969.0,-925.0,0,0,0,
1291,8080384,-833636,-3510360,18.459,170.0,-969.0,-925.0,0,0,0,
1291,8080384,-833379,-3510418,18.474,170.0,-969.0,-925.0,0,0,0,
1291,8080384,-833680,-3510367,18.455,170.0,-969.0,-925.0,0,0,0,
1304,8080384,-833663,-3510417,18.425,168.0,-966.0,-933.0,0,0,0,
1304,8080384,-833682,-3510420,18.449,168.0,-966.0,-933.0,0,0,0,
1304,8080384,-833598,-3510452,18.48,168.0,-966.0,-933.0,0,0,0,
1315,8080384,-833695,-3510416,18.441,169.0,-967.0,-927.0,0,0,0,
1316,8080384,-833516,-3510391,18.424,169.0,-967.0,-927.0,0,0,0,
1328,8080384,-833663,-3510545,18.463,167.0,-966.0,-928.0,0,0,0,
1328,8080384,-833504,-3510441,18.483,167.0,-966.0,-928.0,0,0,0,
1344,8080384,-833660,-3510489,18.447,167.0,-966.0,-928.0,0,0,0,
1362,8080384,-833639,-3510420,18.421,170.0,-964.0,-932.0,0,0,0,
1362,8080384,-833615,-3510383,18.453,170.0,-964.0,-932.0,0,0,0,
1362,8080384,-833783,-3510442,18.483,170.0,-964.0,-932.0,0,0,0,
1362,8080384,-833605,-3510404,18.442,170.0,-964.0,-932.0,0,0,0,
1362,8080384,-833606,-3510458,18.424,170.0,-964.0,-932.0,0,0,0,
1362,8080384,-833614,-3510335,18.458,170.0,-964.0,-932.0,0,0,0,
1375,8080384,-833648,-3510475,18.474,168.0,-964.0,-930.0,0,0,0,
1375,8080384,-833761,-3510440,18.445,168.0,-964.0,-930.0,0,0,0,
1376,8080384,-833535,-3510399,18.399,168.0,-964.0,-930.0,0,0,0,
1392,8080384,-833621,-3510419,18.449,169.0,-966.0,-928.0,0,0,0,
1392,8080384,-833600,-3510465,18.485,169.0,-966.0,-928.0,0,0,0,
1392,8080384,-833506,-3510388,18.433,169.0,-966.0,-928.0,0,0,0,
1405,8080384,-833648,-3510438,18.435,167.0,-968.0,-928.0,0,0,0,
1405,8080384,-833533,-3510501,18.454,167.0,-968.0,-928.0,0,0,0,
1405,8080384,-833652,-3510358,18.47,167.0,-968.0,-928.0,0,0,0,
1418,8080384,-833621,-3510462,18.459,175.0,-962.0,-929.0,0,0,0,
1418,8080384,-833787,-3510409,18.421,175.0,-962.0,-929.0,0,0,0,
1434,8080384,-833738,-3510448,18.46,175.0,-962.0,-929.0,0,0,0,
1452,8080384,-833605,-3510376,18.49,172.0,-966.0,-932.0,0,0,0,
1452,8080384,-833731,-3510466,18.438,172.0,-966.0,-932.0,0,0,0,
1452,8080384,-833625,-3510407,18.433,172.0,-966.0,-932.0,0,0,0,
1452,8080384,-833433,-3510462,18.456,172.0,-966.0,-932.0,0,0,0,
